,c_id,comment_author,thread_id,comment_date,CLASS
148,c2032735961,ChesapeakeBaybe,a8943935,05/06/2009,1
149,c2032739117,AshR822,a8951465,05/06/2009,-1
150,c2032907880,Shaawdy,a8984705,05/07/2009,-1
151,c2033902501,Mommy_Steph1,a9197405,05/13/2009,-1
152,c2034027620,onTheGrow,a9221275,05/13/2009,-1
153,c2034236244,zackarysmom,a9307325,05/14/2009,-1
154,c2034324971,elonturtle,a9307325,05/15/2009,1
155,c2035113412,mom2bJuly2009,a9447105,05/19/2009,-1
156,c2035224830,stellamaria4,a9450305,05/20/2009,1
157,c2035243757,lis106,a9491355,05/20/2009,-1
158,c2035338648,Mattson Lane,a9564085,05/20/2009,-1
159,c2036218601,Marie CBeau,a9686435,05/24/2009,-1
160,c2036226779,simcha13,a9691975,05/24/2009,-1
161,c2036424034,shannonershannoner,a9728455,05/25/2009,-1
162,c2036712065,Em_in_FL,a9792295,05/27/2009,-1
163,c2036934752,D&G1019,a9792295,05/28/2009,1
164,c2037056547,PrincessAnika,a9878855,05/28/2009,-1
165,c2037359181,dandg3,a9942495,05/30/2009,1
166,c2037359903,wa2xpnsv4u,a9942495,05/30/2009,-1
167,c2037551747,MaggieRaesMom,a9942495,05/31/2009,-1
168,c2037553913,green_eyes80,a9942495,05/31/2009,1
169,c2037735613,brianne37,a10012865,06/01/2009,1
170,c2037969628,lyra1977,a10070055,06/02/2009,1
171,c2038000205,addisonsmom2006,a10066285,06/02/2009,1
172,c2038080200,EvilAsh14,a10066285,06/03/2009,1
173,c2038104883,booboosgirl,a10057845,06/03/2009,-1
174,c2038269679,rootsie mama,a10066285,06/04/2009,-1
175,c2038812914,Lnbs36,a10260185,06/06/2009,1
176,c2038950250,Mommytoobe20,a10253625,06/07/2009,1
177,c2039158491,kitkatxyz,a9928665,06/08/2009,-1
178,c2039280168,ms75tr85,a10360525,06/09/2009,-1
179,c2039361989,jenlm36,a10379475,06/09/2009,1
180,c2039948396,Andrea7273,a10513885,06/12/2009,-1
181,c2040207011,CMOMB,a10567395,06/13/2009,-1
182,c2040457167,jtaylor0479,a10558305,06/15/2009,-1
183,c2040902746,puzzler,a10681645,06/17/2009,-1
184,c2041375412,soontobe3forbree,a10836125,06/19/2009,1
185,c2041422014,BabyChrisola,a10836215,06/19/2009,-1
186,c2042442682,MrsGaddis,a11061125,06/24/2009,-1
187,c2042548242,roland'smommy,a11066005,06/25/2009,-1
188,c2042680497,LovinMyNuke,a11066005,06/25/2009,-1
189,c2043205599,PSUAlum04,a11135555,06/26/2009,1
190,c2043315728,JMommy1103,a11183015,06/27/2009,-1
191,c2043369063,jenpguard,a11157275,06/27/2009,1
192,c2043387477,k8typat,a11205655,06/27/2009,-1
193,c2043704446,ErinSmith84,a11264365,06/29/2009,-1
194,c2044601927,MedicKatharine,a11446735,07/03/2009,1
195,c2044802068,guesa13,a11166685,07/04/2009,-1
196,c2044814832,luvmypeapod,a11507845,07/04/2009,1
197,c2045187697,mandi9046,a11584425,07/06/2009,1
198,c2045497564,glasscat,a8859055,07/08/2009,-1
199,c2045550143,Sulaco,a11655255,07/08/2009,-1
200,c2045584602,AutumnButterfly,a11655255,07/08/2009,1
201,c2045635948,RosalynsMommy,a11678375,07/08/2009,-1
202,c2045919959,green~eyed~girls,a11745305,07/09/2009,1
203,c2045925828,*LoveMyBoy&Girl*,a11745305,07/09/2009,-1
204,c2046577712,gangstadt2,a11813325,07/11/2009,-1
205,c2046636735,JenandJohn09,a11813325,07/11/2009,-1
206,c2047268876,LadyComplexity,a11905205,07/14/2009,-1
207,c2048500066,ShockedButExcited,a12217635,07/20/2009,-1
208,c2048500358,~*Holls*~,a12217635,07/20/2009,-1
209,c2048518167,BabyChrisola,a12227415,07/20/2009,1
210,c2048606334,Ressy1983,a12245905,07/20/2009,-1
211,c2048643019,JenandJohn09,a12263475,07/20/2009,-1
212,c2048771192,ethan~christian~emma,a12286375,07/21/2009,-1
213,c2049004351,LadyComplexity,a11905205,07/22/2009,1
214,c2049369462,alexelie,a12422735,07/23/2009,-1
215,c2049403775,Deedle21,a12438245,07/23/2009,-1
216,c2049406309,msmixie,a12438825,07/23/2009,-1
217,c2049456037,MartyGras731,a12438245,07/24/2009,1
218,c2049548660,NCurtis7570,a12462375,07/24/2009,1
219,c2049588773,mamaethan1,a12462375,07/24/2009,1
220,c2049594380,lilmama0309,a12462375,07/24/2009,-1
221,c2049809607,aluminumfree,a12504795,07/25/2009,1
222,c2049810953,LifeCoach Laura,a12516755,07/25/2009,1
223,c2050051714,*ShandaPanda*,a12558375,07/27/2009,-1
224,c2050101152,bjnsga,a12558375,07/27/2009,1
225,c2050111340,drearina,a12568505,07/27/2009,-1
226,c2050133226,a1e2c3,a12431175,07/27/2009,-1
227,c2051037128,julieinthecity,a12710975,07/29/2009,-1
228,c2051411605,jlc512,a12793805,07/31/2009,-1
229,c2052738670,daddy2u,a12934415,08/03/2009,-1
230,c2053275325,Chellebelle321,a12945055,08/04/2009,1
231,c2053857169,NewbiemomNJ,a13107645,08/06/2009,1
232,c2054910760,OneRockstar,a13311425,08/11/2009,-1
233,c2054928311,LauraBug83,a13339735,08/11/2009,-1
234,c2055001271,shall1105,a13350035,08/11/2009,-1
235,c2055053047,ran09,a13374085,08/11/2009,1
236,c2055429060,Danielle'sHappiness,a13449265,08/13/2009,-1
237,c2055456703,Mom2Mo+Mav,a13449335,08/13/2009,1
238,c2055459847,mmg814,a13449335,08/13/2009,1
239,c2055529024,JenandJohn09,a13449265,08/13/2009,-1
240,c2055541037,KeeleyNLance,a13449335,08/13/2009,-1
241,c2055708175,skyes mama,a13492985,08/14/2009,-1
242,c2056429987,RollerGirl,a13649985,08/17/2009,-1
243,c2056454731,EasyComeEasyGo,a13649985,08/17/2009,-1
244,c2056579623,linnie98273,a13684575,08/18/2009,-1
245,c2056579885,*LoveMyBoy&Girl*,a13684575,08/18/2009,-1
246,c2056580187,jlc512,a13684575,08/18/2009,-1
247,c2056661330,Carolyn227,a12427455,08/18/2009,-1
248,c2056701938,The_Peanut's_Mom,a13680365,08/18/2009,-1
249,c2057249011,FitMomma,a13804205,08/20/2009,1
250,c2057259109,Axona,a13804205,08/20/2009,-1
251,c2057421599,phone_call,a13492985,08/21/2009,-1
252,c2057438886,lasirenita,a13885375,08/21/2009,-1
253,c2057497076,FiveStarNavyFamily,a13886485,08/21/2009,-1
254,c2057505821,mommy27_2007,a13863825,08/21/2009,-1
255,c2057539408,Buttercup+4,a13886485,08/21/2009,-1
256,c2057636828,young_mommy3,a13492985,08/22/2009,-1
257,c2057729175,MerrilynJ,a13905265,08/22/2009,1
258,c2057828763,Baby Peeps Mama,a13804205,08/23/2009,-1
259,c2058183376,Mommy_to_Reeve,a14040525,08/24/2009,-1
260,c2058238348,~FireGoddess81~,a14047235,08/25/2009,-1
261,c2058564607,twogirlsandasurprise,a14116305,08/26/2009,1
262,c2058873675,myheartisathome,a14185935,08/27/2009,-1
263,c2058937563,jessyalaska,a14135055,08/27/2009,1
264,c2059124821,Ainslie Peyton,a14247565,08/28/2009,1
265,c2059239244,tinkleadem,a14248155,08/28/2009,-1
266,c2059419638,andersen'smom,a14279095,08/29/2009,-1
267,c2059426472,bvannorman,a14262545,08/29/2009,1
268,c2059699715,My New Beginnings,a14357145,08/31/2009,1
269,c2059701854,meb01999,a14357145,08/31/2009,-1
270,c2059744492,happy mommy nj,a14343195,08/31/2009,-1
271,c2059745006,CathyJean,a14357145,08/31/2009,-1
272,c2059870080,The_Princess_Mommy,a14357145,08/31/2009,1
273,c2060394093,Kokopelli98990509,a14512665,09/02/2009,-1
274,c2060433499,April.H,a14535595,09/02/2009,-1
275,c2060695972,daisyboneca,a14589125,09/03/2009,-1
276,c2061059430,~KrissyTX~,a14644595,09/05/2009,-1
277,c2061147929,mehungry98,a14630235,09/05/2009,-1
278,c2061938768,mamacist,a14834855,09/09/2009,-1
279,c2062558361,mejaka,a14947915,09/11/2009,1
280,c2062703367,LindseyLou84,a14995475,09/12/2009,-1
281,c2062769939,mamaethan1,a15006695,09/12/2009,-1
282,c2062792132,geisslerfamily,a14978325,09/12/2009,-1
283,c2062984325,kalennev,a15048145,09/13/2009,-1
284,c2063147125,Awaited Pregnancy,a15080915,09/14/2009,-1
285,c2063815682,kasie711,a15241355,09/16/2009,-1
286,c2064048684,6littlenewcombs,a15284725,09/17/2009,-1
